backend,experiment,exp_id,mean_input_tokens,mean_output_tokens,concurrency,model,ttft_p50_s,ttft_p95_s,ttft_p99_s,ttft_mean_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,e2e_mean_s,output_tokens_per_s,requests_per_s,num_completed_requests,num_requests_started,error_rate,num_errors,summary_path,gpu_util_mean,gpu_mem_used_mb_mean,gpu_power_w_mean,cpu_pct_mean,ram_pct_mean,billing,billing_label,cost_per_hour_usd,approx_duration_s,approx_total_cost_usd,cost_per_request_usd,cost_per_1m_output_tokens_usd
selfhost,output_length,output_length_c1_in512_out256,512,256,1,Qwen/Qwen2.5-7B-Instruct,0.1889704790000905,0.3493497644001763,0.4719675319294221,0.211660870766597,4.459826708000037,5.402045777449257,5.558480704360391,4.231629869366588,55.65553499687971,0.2352967939552411,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/output_length_c1_in512_out256/Qwen-Qwen2-5-7B-Instruct_512_256_summary.json,,,,,,electricity,Electricity,0.0525,127.49854979199884,0.0018593538511333164,6.197846170444388e-05,0.2421033660329839
selfhost,output_length,output_length_c1_in512_out512,512,512,1,Qwen/Qwen2.5-7B-Instruct,0.2178359794997959,0.4483068607493801,0.6747559912896397,0.249209597266478,7.714446250000037,8.815577062799639,10.03136938786056,7.320790501399945,56.24500705055658,0.1362524395604568,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/output_length_c1_in512_out512/Qwen-Qwen2-5-7B-Instruct_512_512_summary.json,,,,,,electricity,Electricity,0.0525,220.1795439170001,0.003210951682122918,0.0001070317227374306,0.20904633347154414
bedrock,prompt_length,prompt_length_c1_in1024_out128,1024,128,1,Qwen/Qwen2.5-7B-Instruct,0.2873455215003559,0.4450259338500472,0.607742956679722,0.3133770875998379,1.8614346249996745,1.9870582666996597,2.044584940930272,1.8544447361999723,80.57375190149348,0.533836695460425,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/prompt_length_c1_in1024_out128/Qwen-Qwen2-5-7B-Instruct_1024_128_summary.json,,,,,,cmu,CMU (active copy),6.8616,56.19696108399876,0.5718,0.01906,148.90625
bedrock,prompt_length,prompt_length_c1_in2048_out128,2048,128,1,Qwen/Qwen2.5-7B-Instruct,0.3466704380007286,0.5217942794993177,0.5718855084286406,0.3714954458998666,1.8911575209995135,2.0685317480998493,2.082275448609689,1.8815413625997583,77.99527449835733,0.5261655576682528,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/prompt_length_c1_in2048_out128/Qwen-Qwen2-5-7B-Instruct_2048_128_summary.json,,,,,,cmu,CMU (active copy),6.8616,57.016274749999866,0.5718,0.01906,148.90625
bedrock,prompt_length,prompt_length_c1_in4096_out128,4096,128,1,Qwen/Qwen2.5-7B-Instruct,0.4218109999992521,0.7475579534996539,0.7857635054587627,0.4703895541999979,1.949246208500881,2.1175344418494206,2.214071973429309,1.954071791800076,75.83811843415094,0.506826365120189,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/prompt_length_c1_in4096_out128/Qwen-Qwen2-5-7B-Instruct_4096_128_summary.json,,,,,,cmu,CMU (active copy),6.8616,59.19186937499944,0.5718,0.01906,148.90625
bedrock,prompt_length,prompt_length_c1_in512_out128,512,128,1,Qwen/Qwen2.5-7B-Instruct,0.2939671459998862,0.5287432038000588,2.2573002968903007,0.4075350319002003,1.8623567294998793,2.0074871523002003,3.724233064000748,1.960147902866811,77.17728027603876,0.5053073784987261,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/prompt_length_c1_in512_out128/Qwen-Qwen2-5-7B-Instruct_512_128_summary.json,,,,,,cmu,CMU (active copy),6.8616,59.36980395799946,0.5718,0.01906,148.90625
ecs,prompt_length,prompt_length_c1_in1024_out128,1024,128,1,Qwen/Qwen2.5-7B-Instruct,0.2677650835003078,0.4466607707990986,0.5144648313899416,0.3039268361666473,4.573495812499459,4.714624895899851,4.721421834180619,4.565724279199822,32.95726199073022,0.2181636936720888,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/prompt_length_c1_in1024_out128/Qwen-Qwen2-5-7B-Instruct_1024_128_summary.json,,,,,,hourly,Hourly,1.006,137.51142316599908,0.03842680325138752,0.0012808934417129173,10.006980013382167
ecs,prompt_length,prompt_length_c1_in2048_out128,2048,128,1,Qwen/Qwen2.5-7B-Instruct,0.3451143750007759,0.5809396209499936,0.6107888890710274,0.3960836693668776,4.713014875001136,4.787427002049571,4.847522895679813,4.576858305533521,32.42654491389266,0.2176278182140447,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/prompt_length_c1_in2048_out128/Qwen-Qwen2-5-7B-Instruct_2048_128_summary.json,,,,,,hourly,Hourly,1.006,137.8500241660004,0.03852142341972122,0.0012840474473240408,10.031620682219069
ecs,prompt_length,prompt_length_c1_in4096_out128,4096,128,1,Qwen/Qwen2.5-7B-Instruct,0.5733258544996716,0.9633369437507098,0.992909391250887,0.6486606097332697,4.978141583000252,5.295653810449403,5.331108073610285,4.918646324966782,30.30288615848805,0.202559399455134,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/prompt_length_c1_in4096_out128/Qwen-Qwen2-5-7B-Instruct_4096_128_summary.json,,,,,,hourly,Hourly,1.006,148.1047044999996,0.041387036868611,0.0013795678956203667,10.777874184534115
ecs,prompt_length,prompt_length_c1_in512_out128,512,128,1,Qwen/Qwen2.5-7B-Instruct,0.2919742085005055,0.4318829834491225,0.4925864215691036,0.3131221568663628,4.558011895999698,4.720606322950426,4.738408087179741,4.591908413933379,33.09512432104445,0.2169223792071954,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/prompt_length_c1_in512_out128/Qwen-Qwen2-5-7B-Instruct_512_128_summary.json,,,,,,hourly,Hourly,1.006,138.29831716599986,0.038646696408054404,0.0012882232136018136,10.064243856264168
selfhost,prompt_length,prompt_length_c1_in1024_out128,1024,128,1,Qwen/Qwen2.5-7B-Instruct,0.2529469794999386,0.4406218102993989,0.5224814075389987,0.2826105708001099,2.8235944375001054,3.087146620799194,3.1394837326406195,2.8129427861667864,53.40789487747893,0.3531489632630302,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/prompt_length_c1_in1024_out128/Qwen-Qwen2-5-7B-Instruct_1024_128_summary.json,,,,,,electricity,Electricity,0.0525,84.94998745799967,0.0012388539837624951,4.1295132792083173e-05,0.3226182249381498
selfhost,prompt_length,prompt_length_c1_in2048_out128,2048,128,1,Qwen/Qwen2.5-7B-Instruct,0.3357105000004594,0.523955810050029,0.5399236815303448,0.3612443055336067,2.9244683960005204,3.085359143900132,3.109655886069031,2.8612376375667736,51.75558385223336,0.3472752215537913,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/prompt_length_c1_in2048_out128/Qwen-Qwen2-5-7B-Instruct_2048_128_summary.json,,,,,,electricity,Electricity,0.0525,86.38681408299999,0.0012598077053770833,4.199359017923611e-05,0.32807492327528215
selfhost,prompt_length,prompt_length_c1_in512_out128,512,128,1,Qwen/Qwen2.5-7B-Instruct,0.2066965210005946,0.3201877022999724,0.4077329568598544,0.2224975624335153,2.7698417500005235,2.877603195650772,3.0490023590697457,2.7713945680000203,54.767983747216064,0.3584292130053407,30,30,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/selfhost/prompt_length_c1_in512_out128/Qwen-Qwen2-5-7B-Instruct_512_128_summary.json,,,,,,electricity,Electricity,0.0525,83.69853491699905,0.0012206036342062361,4.0686787806874535e-05,0.3178655297412073
